,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_NA,Income_Category_NA,Gender_M,MS_Married,MS_Single,ln_Total_Trans_Amt,ln_Credit_Limit,ln_Avg_Transaction,Credit_utilization
13,58.0,1.0,1.0,2.0,0.0,46.0,3.0,2.0,4.0,4188.0,1147.0,3041.0,1.042,1276.0,25.0,1.083,0.274,0.0,0.0,True,True,False,7.151485463904735,8.339978571990427,3.9326096390365346,0.2738777459407832
14,35.0,2.0,3.0,1.0,0.0,25.0,3.0,1.0,2.0,1438.3,0.0,1438.3,0.744,4434.0,73.0,0.78,0.0,0.0,0.0,False,False,False,8.397057390176256,7.271217139609844,4.106597949027866,0.0
15,63.0,1.0,2.0,2.0,0.0,56.0,3.0,3.0,2.0,10215.0,1010.0,9205.0,0.843,1904.0,40.0,1.0,0.099,1.0,0.0,True,True,False,7.55171221535131,9.231612507251722,3.8628327612373745,0.09887420460107685
16,30.0,0.0,3.0,0.0,0.0,36.0,5.0,3.0,3.0,1574.0,0.0,1574.0,0.582,2560.0,59.0,0.788,0.0,0.0,0.0,True,False,True,7.847762537473608,7.3613754289773485,3.7702250935678885,0.0
17,57.0,3.0,3.0,4.0,0.0,49.0,5.0,3.0,3.0,32676.0,2134.0,30542.0,0.797,3990.0,88.0,0.76,0.065,0.0,0.0,True,True,False,8.29154650988391,10.39439614246176,3.8142096954057028,0.06530787122046762
18,64.0,0.0,0.0,0.0,0.0,36.0,3.0,1.0,3.0,7112.0,1358.0,5754.0,0.553,4951.0,73.0,0.587,0.191,0.0,0.0,False,False,False,8.507344855361422,8.86953877719374,4.216885414213032,0.19094488188976377
19,47.0,1.0,3.0,2.0,0.0,40.0,3.0,1.0,3.0,3811.0,1970.0,1841.0,0.828,3578.0,76.0,0.689,0.517,0.0,1.0,False,True,False,8.182559264068665,8.24564690087386,3.8518259237823336,0.5169246916819732
20,36.0,4.0,1.0,1.0,0.0,30.0,3.0,3.0,1.0,1438.3,0.0,1438.3,0.71,4591.0,74.0,0.644,0.0,0.0,0.0,True,False,False,8.431853144249223,7.271217139609844,4.127788051045052,0.0
21,44.0,3.0,3.0,0.0,1.0,26.0,1.0,3.0,1.0,10877.0,1802.0,9075.0,0.706,7974.0,90.0,0.731,0.166,0.0,0.0,False,False,False,8.983941527941301,9.294405747093851,4.484131857611035,0.16567068125402226
22,34.0,3.0,0.0,2.0,0.0,24.0,3.0,1.0,4.0,8167.0,1740.0,6427.0,1.455,2141.0,51.0,0.7,0.213,0.0,0.0,True,True,False,7.669028288589683,9.007856923358275,3.737202655865357,0.21305252846822578
23,46.0,2.0,3.0,3.0,0.0,34.0,2.0,3.0,3.0,7077.0,0.0,7077.0,0.838,2619.0,41.0,0.519,0.0,1.0,0.0,False,False,True,7.870547844507712,8.864605368075784,4.156975777803404,0.0
24,46.0,4.0,1.0,0.0,0.0,39.0,4.0,2.0,3.0,7128.0,1457.0,5671.0,0.553,3534.0,70.0,0.591,0.204,1.0,0.0,False,False,False,8.170185652879642,8.871785969150645,3.9216904108302826,0.20440516273849607
25,46.0,2.0,3.0,0.0,0.0,40.0,5.0,2.0,2.0,6568.0,0.0,6568.0,0.101,1507.0,33.0,0.222,0.0,0.0,0.0,False,False,False,7.317876198626496,8.789964651132264,3.821368637160015,0.0
26,35.0,1.0,0.0,4.0,1.0,27.0,4.0,3.0,2.0,34516.0,0.0,34516.0,0.682,2562.0,62.0,0.722,0.0,0.0,1.0,True,True,False,7.848543482456679,10.449178263628198,3.721409097411588,0.0
27,64.0,0.0,3.0,0.0,0.0,53.0,3.0,3.0,4.0,2084.0,1647.0,437.0,0.664,1597.0,37.0,0.542,0.79,0.0,0.0,True,True,False,7.3758821482150125,7.642044402873258,3.764964235570788,0.7903071017274472
28,36.0,3.0,3.0,0.0,0.0,31.0,3.0,2.0,3.0,2937.0,2159.0,778.0,0.67,2511.0,51.0,0.7,0.735,0.0,0.0,False,False,False,7.828436359157585,7.98514393119862,3.8966107264332592,0.7351038474633981
29,49.0,1.0,1.0,2.0,2.0,36.0,2.0,2.0,3.0,6224.0,2201.0,4023.0,0.832,7693.0,70.0,0.628,0.354,0.0,0.0,True,True,False,8.948066103458935,8.736168065858228,4.699570861409576,0.3536311053984576
30,42.0,3.0,0.0,4.0,0.0,28.0,2.0,3.0,1.0,19192.0,1507.0,17685.0,0.594,15615.0,125.0,0.736,0.079,0.0,0.0,True,True,False,9.65598726971718,9.862248804519531,4.827673532414877,0.0785223009587328
31,43.0,2.0,3.0,0.0,0.0,32.0,2.0,3.0,1.0,2890.0,1392.0,1498.0,0.736,4233.0,77.0,0.791,0.482,0.0,0.0,True,True,False,8.350666240520924,7.969011781106478,4.00686081866724,0.48166089965397924
32,44.0,5.0,3.0,0.0,0.0,39.0,6.0,3.0,2.0,1545.0,0.0,1545.0,0.749,2646.0,39.0,0.444,0.0,0.0,0.0,False,False,False,7.880804344674901,7.3427791893318455,4.217242698545254,0.0
33,37.0,4.0,3.0,0.0,0.0,28.0,4.0,3.0,1.0,1825.0,1389.0,436.0,1.595,2878.0,54.0,0.636,0.761,0.0,0.0,False,True,False,7.964850887447313,7.509335266016592,3.9758668408830387,0.7610958904109589
34,39.0,2.0,0.0,0.0,1.0,34.0,3.0,3.0,3.0,14386.0,2517.0,11869.0,0.735,13377.0,114.0,0.869,0.175,0.0,0.0,True,True,False,9.501292093295586,9.574010790427302,4.765093644901091,0.17496176838593078
35,45.0,2.0,4.0,0.0,0.0,37.0,3.0,3.0,1.0,3036.0,2517.0,519.0,0.882,2609.0,42.0,0.615,0.829,0.0,0.0,False,False,True,7.866722285136729,8.01829613851552,4.12905266685336,0.8290513833992095
36,55.0,3.0,3.0,3.0,0.0,36.0,3.0,2.0,3.0,25878.0,1733.0,24145.0,0.438,1777.0,54.0,0.862,0.067,0.0,0.0,False,True,False,7.482681828154651,10.161148465875899,3.493697781590377,0.06696808099544015
37,58.0,0.0,1.0,3.0,0.0,36.0,6.0,3.0,2.0,2994.0,2351.0,643.0,0.469,1540.0,32.0,0.185,0.785,0.0,0.0,False,True,False,7.3395376954076745,8.004365564979574,3.8738017926079484,0.7852371409485638
38,47.0,2.0,3.0,1.0,0.0,35.0,1.0,6.0,3.0,5791.0,1957.0,3834.0,0.654,7823.0,93.0,0.722,0.338,0.0,0.0,False,False,False,8.96482339168508,8.66406026722579,4.4322238985318245,0.3379381799343809
39,51.0,3.0,1.0,0.0,0.0,38.0,1.0,3.0,2.0,1759.0,1345.0,414.0,0.61,4351.0,81.0,0.688,0.765,0.0,0.0,False,False,False,8.37816098272068,7.472500744737558,3.9837118280482415,0.7646389994314952
40,54.0,1.0,3.0,3.0,0.0,46.0,3.0,3.0,2.0,15554.0,2497.0,13057.0,1.027,2836.0,61.0,0.605,0.161,0.0,0.0,True,False,True,7.950149887652018,9.652073119254888,3.839276023478707,0.16053748231966053
41,51.0,0.0,1.0,3.0,0.0,44.0,2.0,2.0,3.0,22741.0,2176.0,20565.0,0.689,8438.0,100.0,0.887,0.096,0.0,0.0,False,False,False,9.040500592684284,10.03192474171143,4.435330406696193,0.09568620553185876
42,33.0,3.0,1.0,0.0,0.0,21.0,2.0,1.0,3.0,2831.0,1167.0,1664.0,0.744,4460.0,65.0,0.857,0.412,0.0,0.0,False,False,True,8.40290404501411,7.9483852851118995,4.2285167751184725,0.4122218297421406
43,45.0,2.0,3.0,2.0,0.0,25.0,3.0,5.0,3.0,1438.3,0.0,1438.3,0.676,709.0,27.0,0.421,0.0,0.0,0.0,True,True,False,6.5638555265321274,7.271217139609844,3.2680186605277983,0.0
44,48.0,1.0,3.0,0.0,0.0,35.0,5.0,2.0,2.0,1449.0,0.0,1449.0,0.785,4797.0,88.0,0.913,0.0,0.0,0.0,False,False,True,8.475746001502063,7.278628942320682,3.9984091870238574,0.0
45,50.0,2.0,4.0,3.0,0.0,38.0,3.0,3.0,1.0,6030.0,1315.0,4715.0,0.623,3420.0,81.0,0.841,0.218,1.0,0.0,True,False,True,8.13739583005665,8.704502289721232,3.742946675384212,0.21807628524046435
46,48.0,2.0,1.0,0.0,0.0,35.0,4.0,6.0,1.0,1686.0,1271.0,415.0,1.087,3445.0,64.0,0.73,0.754,0.0,0.0,True,True,False,8.144679183447758,7.430114138561801,3.9857961000880873,0.7538552787663108
47,51.0,1.0,3.0,0.0,0.0,39.0,5.0,3.0,2.0,1438.3,0.0,1438.3,0.885,2492.0,35.0,0.296,0.0,0.0,0.0,True,True,False,7.820840879907344,7.271217139609844,4.26549281841793,0.0
48,55.0,2.0,0.0,2.0,0.0,35.0,3.0,3.0,0.0,3025.0,2376.0,649.0,1.252,1277.0,23.0,1.875,0.785,0.0,1.0,False,False,False,7.152268856032539,8.014666370464942,4.01677464010339,0.7854545454545454
49,46.0,4.0,3.0,1.0,0.0,39.0,3.0,1.0,1.0,2477.0,1480.0,997.0,0.826,5138.0,77.0,0.974,0.597,0.0,0.0,True,False,True,8.544419177669829,7.814803429489359,4.200613755816145,0.5974969721437222
50,42.0,2.0,3.0,1.0,0.0,33.0,6.0,1.0,1.0,13770.0,2517.0,11253.0,0.788,1582.0,36.0,0.385,0.183,0.0,1.0,False,True,False,7.366445148327599,9.5302475917227,3.7829262098714893,0.18278867102396515
51,47.0,3.0,3.0,1.0,0.0,31.0,6.0,3.0,6.0,5496.0,0.0,5496.0,0.548,1913.0,34.0,0.308,0.0,0.0,0.0,False,True,False,7.556427969440253,8.611775833902186,4.030067444824091,0.0
52,37.0,1.0,2.0,2.0,0.0,26.0,6.0,3.0,2.0,15755.0,1410.0,14345.0,0.839,2061.0,61.0,0.649,0.089,0.0,0.0,False,True,False,7.630946580890459,9.664913054191375,3.5200727167171477,0.08949539828625833
53,43.0,2.0,2.0,4.0,0.0,37.0,6.0,3.0,1.0,14315.0,1348.0,12967.0,0.681,3694.0,67.0,0.718,0.094,0.0,0.0,False,False,False,8.214465160759186,9.569063217532216,4.0097725413682195,0.09416695773663988
54,56.0,1.0,1.0,2.0,0.0,49.0,1.0,2.0,1.0,17542.0,2517.0,15025.0,0.8,13939.0,138.0,0.792,0.143,0.0,1.0,True,True,False,9.542445945729886,9.772353284511327,4.615192260572682,0.14348420932618858
55,33.0,4.0,2.0,1.0,1.0,20.0,2.0,1.0,3.0,15977.0,0.0,15977.0,0.702,7745.0,64.0,0.684,0.0,0.0,0.0,False,True,False,8.954802752850968,9.67890546702757,4.7959196694912976,0.0
56,44.0,2.0,0.0,0.0,0.0,37.0,5.0,1.0,2.0,7627.0,1742.0,5885.0,0.771,4349.0,75.0,0.705,0.228,0.0,1.0,False,False,True,8.37770121259764,8.939449862164238,4.060213099061328,0.2283991084305756
57,34.0,3.0,3.0,0.0,0.0,23.0,5.0,3.0,3.0,2263.0,1794.0,469.0,0.794,2154.0,37.0,0.542,0.793,0.0,0.0,True,True,False,7.675081857716334,7.724446645633537,4.064163945072109,0.7927529827662395
58,44.0,3.0,3.0,0.0,0.0,27.0,5.0,1.0,1.0,7751.0,1965.0,5786.0,0.782,4543.0,90.0,0.731,0.254,0.0,1.0,False,True,False,8.421342865759403,8.955577146281511,3.9215331954291384,0.253515675396723
59,41.0,2.0,3.0,0.0,0.0,30.0,3.0,2.0,2.0,3028.0,2270.0,758.0,0.804,4727.0,78.0,0.66,0.75,0.0,0.0,True,False,True,8.461046030793236,8.01565761455734,4.104337204103644,0.749669749009247
60,48.0,4.0,0.0,0.0,0.0,37.0,6.0,3.0,4.0,2646.0,872.0,1774.0,0.865,4246.0,80.0,0.739,0.33,0.0,0.0,True,True,False,8.353732642263202,7.880804344674901,3.97170600758932,0.3295540438397581
61,46.0,3.0,3.0,3.0,0.0,31.0,5.0,2.0,4.0,26303.0,2376.0,23927.0,0.583,3586.0,67.0,0.914,0.09,0.0,0.0,True,True,False,8.184792654165078,10.17743828010161,3.9801000347741122,0.09033190130403376
62,46.0,1.0,2.0,2.0,0.0,39.0,4.0,3.0,3.0,5374.0,2324.0,3050.0,0.423,1557.0,49.0,0.4,0.432,1.0,0.0,False,False,False,7.350516171833998,8.589327789175437,3.458695873723372,0.4324525493114998
63,51.0,2.0,3.0,2.0,0.0,41.0,4.0,3.0,1.0,1959.0,0.0,1959.0,0.454,3737.0,71.0,0.614,0.0,0.0,0.0,True,False,True,8.226038429485484,7.580189417944541,3.9633585524441686,0.0
64,52.0,2.0,3.0,3.0,0.0,37.0,1.0,3.0,1.0,34516.0,1369.0,33147.0,0.764,7745.0,82.0,0.64,0.04,0.0,0.0,True,False,True,8.954802752850968,10.449178263628198,4.548083505586716,0.03966276509444895
65,32.0,2.0,3.0,0.0,0.0,17.0,5.0,1.0,2.0,1438.3,1228.0,210.3,1.132,2580.0,67.0,0.971,0.854,0.0,0.0,True,False,True,7.855544677915663,7.271217139609844,3.650852058524697,0.8537857192518946
66,50.0,3.0,0.0,3.0,0.0,36.0,5.0,2.0,3.0,24742.0,1676.0,23066.0,0.566,1306.0,31.0,0.55,0.068,0.0,0.0,False,False,False,7.174724309836376,10.116257483422777,3.74073710535123,0.06773906717322771
67,56.0,1.0,3.0,1.0,0.0,47.0,3.0,2.0,1.0,6038.0,0.0,6038.0,0.741,1447.0,30.0,0.875,0.0,0.0,0.0,False,False,True,7.277247726631484,8.705828110266784,3.8760503449693284,0.0
68,38.0,4.0,3.0,0.0,0.0,30.0,3.0,1.0,2.0,5951.0,1702.0,4249.0,1.264,2565.0,53.0,0.71,0.286,0.0,0.0,True,True,False,7.84971375760487,8.691314551644853,3.879421844052748,0.28600235254579065
69,42.0,4.0,3.0,1.0,1.0,37.0,3.0,6.0,2.0,15871.0,2086.0,13785.0,0.745,1562.0,43.0,0.955,0.131,0.0,0.0,True,True,False,7.3537223303996315,9.672248823507559,3.5925222147060687,0.13143469220591014
70,38.0,2.0,3.0,3.0,0.0,33.0,4.0,3.0,2.0,16059.0,618.0,15441.0,0.824,1357.0,26.0,1.0,0.038,0.0,0.0,True,False,True,7.213031659834869,9.68402471906149,3.9549351218133872,0.03848309359237811
71,41.0,2.0,1.0,1.0,0.0,36.0,4.0,5.0,3.0,1561.0,1169.0,392.0,0.573,4391.0,67.0,0.595,0.749,0.0,0.0,False,True,False,8.387312270561717,7.353081920515432,4.182619651170751,0.7488789237668162
72,42.0,4.0,3.0,1.0,0.0,36.0,6.0,2.0,2.0,4008.0,1636.0,2372.0,0.637,1395.0,43.0,0.955,0.408,0.0,0.0,True,True,False,7.240649694255466,8.2960476427647,3.4794495785619035,0.40818363273453095
73,56.0,4.0,0.0,1.0,0.0,51.0,5.0,1.0,1.0,3334.0,1272.0,2062.0,1.12,4284.0,73.0,0.587,0.382,0.0,1.0,True,True,False,8.36264243156764,8.111928063310739,4.072182990419249,0.3815236952609478
74,51.0,2.0,1.0,2.0,0.0,37.0,6.0,6.0,3.0,8787.0,1087.0,7700.0,0.974,4537.0,75.0,1.273,0.124,0.0,0.0,True,False,True,8.420021279663963,9.081028635495842,4.102533166127653,0.12370547399567543
75,42.0,3.0,1.0,3.0,0.0,36.0,1.0,3.0,2.0,22993.0,0.0,22993.0,1.004,7867.0,75.0,0.786,0.0,0.0,0.0,False,False,False,8.970432074329242,10.042945100762001,4.652943960792932,0.0
76,49.0,3.0,0.0,1.0,0.0,40.0,6.0,2.0,3.0,8900.0,1700.0,7200.0,0.906,4710.0,70.0,0.556,0.191,0.0,0.0,False,False,True,8.457443187010464,9.093806555720231,4.208947944961104,0.19101123595505617
77,45.0,4.0,1.0,2.0,0.0,36.0,6.0,1.0,1.0,11498.0,1577.0,9921.0,0.756,4014.0,70.0,0.489,0.137,1.0,0.0,False,False,True,8.297543529356284,9.349928386183237,4.049048287306924,0.13715428770220908
78,47.0,2.0,3.0,3.0,0.0,36.0,3.0,1.0,3.0,9437.0,2024.0,7413.0,0.664,4715.0,78.0,0.696,0.214,1.0,0.0,True,False,False,8.458504195067558,9.152393412021333,4.101795368377966,0.2144749390696196
79,49.0,4.0,3.0,0.0,0.0,36.0,1.0,3.0,1.0,6615.0,0.0,6615.0,0.619,4575.0,75.0,0.786,0.0,0.0,0.0,True,True,False,8.428361977709622,8.797095076549056,4.110873864173311,0.0
80,48.0,4.0,3.0,0.0,1.0,36.0,2.0,2.0,3.0,10973.0,1466.0,9507.0,0.802,4892.0,94.0,0.593,0.134,0.0,0.0,True,True,False,8.495356496807062,9.3031929889908,3.952061714537059,0.13360065615601932
81,54.0,1.0,1.0,2.0,0.0,36.0,4.0,1.0,4.0,20050.0,1225.0,18825.0,0.907,1306.0,26.0,0.238,0.061,0.0,0.0,False,False,False,7.174724309836376,9.905984432734716,3.9166277718148943,0.06109725685785536
82,59.0,2.0,0.0,0.0,0.0,51.0,5.0,5.0,4.0,1438.3,0.0,1438.3,0.656,2146.0,44.0,0.63,0.0,0.0,0.0,False,True,False,7.671360923190644,7.271217139609844,3.8871712892723824,0.0
83,54.0,0.0,4.0,0.0,1.0,39.0,6.0,2.0,3.0,11696.0,2288.0,9408.0,0.973,2445.0,60.0,0.765,0.196,0.0,0.0,False,True,False,7.801800401908973,9.36700218198956,3.7074558396868715,0.19562243502051985
84,48.0,3.0,2.0,0.0,0.0,36.0,3.0,1.0,2.0,8795.0,1318.0,7477.0,0.563,4681.0,74.0,0.682,0.15,0.0,0.0,False,False,False,8.45126704130007,9.081938657171658,4.147201948095901,0.14985787379192722
85,46.0,3.0,2.0,3.0,0.0,41.0,4.0,3.0,1.0,18927.0,887.0,18040.0,1.065,3101.0,54.0,1.0,0.047,0.0,0.0,True,True,False,8.03947991910045,9.84834475303892,4.050495872536175,0.04686426797696413
86,57.0,4.0,2.0,4.0,0.0,36.0,2.0,2.0,3.0,13694.0,2219.0,11475.0,1.078,9040.0,63.0,0.8,0.162,1.0,0.0,True,False,True,9.109414453386222,9.524713059681009,4.9662797269946894,0.16204177011829998
87,62.0,1.0,1.0,3.0,0.0,56.0,2.0,1.0,2.0,8990.0,0.0,8990.0,0.935,747.0,19.0,0.583,0.0,0.0,1.0,False,False,True,6.616065185132817,9.103868127465667,3.6716262059663767,0.0
88,38.0,2.0,3.0,0.0,0.0,25.0,6.0,2.0,2.0,1438.3,538.0,900.3,0.675,4093.0,73.0,0.659,0.374,0.0,0.0,True,False,True,8.317033476492403,7.271217139609844,4.026574035344012,0.37405270110547173
89,40.0,3.0,1.0,3.0,0.0,34.0,1.0,3.0,4.0,29715.0,0.0,29715.0,0.399,2128.0,39.0,0.345,0.0,0.0,0.0,False,False,False,7.662937850461535,10.299407247800762,3.9993762043318886,0.0
90,41.0,3.0,2.0,2.0,0.0,33.0,6.0,1.0,4.0,5246.0,0.0,5246.0,0.969,3189.0,56.0,0.556,0.0,0.0,0.0,False,False,True,8.067462667010057,8.56522116042682,4.042110976274908,0.0
91,45.0,3.0,1.0,1.0,0.0,36.0,4.0,2.0,2.0,1912.0,1281.0,631.0,0.693,5046.0,79.0,0.717,0.67,0.0,0.0,True,False,True,8.526351129201004,7.555905093611346,4.156903276733981,0.6699790794979079
92,49.0,3.0,0.0,3.0,0.0,43.0,2.0,2.0,2.0,4645.0,1650.0,2995.0,0.912,1193.0,33.0,0.65,0.355,0.0,0.0,True,False,True,7.084226422097916,8.443546651247939,3.5877188606314356,0.35522066738428415
93,45.0,3.0,3.0,2.0,1.0,34.0,5.0,1.0,1.0,34516.0,1664.0,32852.0,0.73,4912.0,80.0,0.739,0.048,0.0,0.0,True,False,True,8.499436469826978,10.449178263628198,4.117409835153096,0.04820952601691969
94,38.0,3.0,4.0,0.0,0.0,32.0,4.0,3.0,2.0,3317.0,2517.0,800.0,0.862,3772.0,74.0,1.0,0.759,0.0,0.0,False,True,False,8.235360643753348,8.106816038947052,3.9312955505491782,0.7588182092252035
95,54.0,1.0,2.0,4.0,0.0,44.0,4.0,3.0,2.0,2821.0,2415.0,406.0,0.441,1419.0,36.0,0.8,0.856,0.0,0.0,True,True,False,7.257707677160043,7.944846711001996,3.6741887387039327,0.8560794044665012
96,47.0,2.0,3.0,2.0,0.0,34.0,3.0,3.0,2.0,2048.0,1599.0,449.0,0.613,4855.0,88.0,0.872,0.781,1.0,0.0,True,True,False,8.487764380725425,7.6246189861593985,4.010427566247219,0.78076171875
97,35.0,3.0,4.0,3.0,0.0,28.0,3.0,1.0,2.0,4380.0,0.0,4380.0,0.719,17258.0,121.0,0.704,0.0,0.0,0.0,True,True,False,9.756031083068253,8.384804003370492,4.9602405374715115,0.0
98,58.0,1.0,2.0,1.0,0.0,52.0,3.0,2.0,3.0,3880.0,2517.0,1363.0,0.673,3163.0,65.0,0.97,0.649,1.0,0.0,False,False,False,8.059276223305648,8.263590432617319,3.884888953410012,0.6487113402061856
99,42.0,3.0,3.0,2.0,0.0,37.0,2.0,3.0,1.0,17887.0,1821.0,16066.0,0.687,14544.0,116.0,1.148,0.102,0.0,0.0,True,True,False,9.58493381641726,9.791829470993246,4.831343625310895,0.10180578073461173
100,47.0,3.0,3.0,0.0,0.0,27.0,3.0,3.0,0.0,1451.0,0.0,1451.0,0.5,3866.0,72.0,0.714,0.0,0.0,0.0,False,False,True,8.259975659768276,7.280008252884188,3.983309540752221,0.0
101,47.0,4.0,1.0,0.0,0.0,36.0,3.0,3.0,3.0,2033.0,228.0,1805.0,0.904,2572.0,43.0,0.72,0.112,1.0,0.0,False,False,False,7.85243908535751,7.617267813628347,4.091238969663948,0.11214953271028037
102,53.0,0.0,0.0,4.0,0.0,47.0,5.0,2.0,1.0,26129.0,1752.0,24377.0,0.742,4919.0,75.0,0.744,0.067,0.0,0.0,True,True,False,8.50086053679534,10.170801087594812,4.183372423259029,0.06705193463201807
103,40.0,3.0,2.0,0.0,0.0,36.0,6.0,1.0,0.0,2348.0,1061.0,1287.0,1.062,1901.0,27.0,1.25,0.452,1.0,0.0,False,False,True,7.550135342488429,7.761319180947987,4.2542984764841,0.4518739352640545
104,44.0,5.0,2.0,0.0,0.0,36.0,4.0,2.0,3.0,5791.0,0.0,5791.0,0.645,4556.0,67.0,0.861,0.0,1.0,1.0,False,False,False,8.424200324567073,8.66406026722579,4.219507705176107,0.0
105,37.0,3.0,0.0,1.0,0.0,19.0,3.0,3.0,4.0,2186.0,1185.0,1001.0,0.998,2614.0,67.0,0.861,0.542,0.0,0.0,False,True,False,7.868636894184167,7.689828668736484,3.663944274793201,0.5420860018298261
106,57.0,4.0,1.0,1.0,0.0,47.0,5.0,2.0,4.0,6803.0,1332.0,5471.0,0.809,1476.0,30.0,0.579,0.196,0.0,0.0,True,False,True,7.297091005160418,8.825118970345061,3.8958936234982624,0.19579597236513302
107,54.0,4.0,3.0,2.0,0.0,36.0,4.0,3.0,3.0,6905.0,2303.0,4602.0,0.712,1370.0,25.0,0.786,0.334,0.0,0.0,False,False,False,7.222566018822171,8.840001065843392,4.00369019395397,0.3335264301230992
108,42.0,1.0,4.0,0.0,0.0,28.0,3.0,3.0,0.0,3453.0,1010.0,2443.0,0.801,8108.0,85.0,0.7,0.292,0.0,0.0,False,True,False,9.000606507571892,8.146998697389993,4.557955251081574,0.29249927599189113
109,56.0,2.0,3.0,3.0,0.0,36.0,4.0,2.0,3.0,23510.0,1049.0,22461.0,0.438,1661.0,35.0,0.296,0.045,0.0,0.0,True,False,False,7.415175109613295,10.065181141534115,3.859827048123881,0.044619310931518504
110,62.0,0.0,1.0,0.0,0.0,36.0,6.0,2.0,1.0,3749.0,1980.0,1769.0,0.706,5083.0,69.0,0.643,0.528,0.0,0.0,True,True,False,8.533656917446903,8.229244416735913,4.299550412849643,0.5281408375566817
111,48.0,0.0,3.0,1.0,0.0,36.0,3.0,1.0,0.0,2708.0,2517.0,191.0,0.568,2198.0,41.0,0.864,0.929,1.0,0.0,False,False,False,7.6953031349635665,7.903965634032166,3.981731068259259,0.9294682422451994
